title,id,arxiv_url,published,citation
Asynchronous Methods for Deep Reinforcement Learning,1602.01783,http://arxiv.org/abs/1602.01783v2,2016-02-04T18:38:41Z,999
Deep Learning in Neural Networks: An Overview,1404.7828,http://arxiv.org/abs/1404.7828v4,2014-04-30T18:39:00Z,999
Representation Learning: A Review and New Perspectives,1206.5538,http://arxiv.org/abs/1206.5538v3,2012-06-24T20:51:38Z,999
Accurate Image Super-Resolution Using Very Deep Convolutional Networks,1511.04587,http://arxiv.org/abs/1511.04587v2,2015-11-14T17:36:45Z,999
DeepWalk: Online Learning of Social Representations,1403.6652,http://arxiv.org/abs/1403.6652v2,2014-03-26T12:30:07Z,999
Playing Atari with Deep Reinforcement Learning,1312.5602,http://arxiv.org/abs/1312.5602v1,2013-12-19T16:00:08Z,999
"DeCAF: A Deep Convolutional Activation Feature for Generic Visual
  Recognition",1310.1531,http://arxiv.org/abs/1310.1531v1,2013-10-06T02:48:17Z,999
"Unsupervised Representation Learning with Deep Convolutional Generative
  Adversarial Networks",1511.06434,http://arxiv.org/abs/1511.06434v2,2015-11-19T22:50:32Z,999
Image Super-Resolution Using Deep Convolutional Networks,1501.00092,http://arxiv.org/abs/1501.00092v3,2014-12-31T08:35:09Z,999
Deep Residual Learning for Image Recognition,1512.03385,http://arxiv.org/abs/1512.03385v1,2015-12-10T19:51:55Z,996
Wide Residual Networks,1605.07146,http://arxiv.org/abs/1605.07146v4,2016-05-23T19:27:13Z,984
"Dropout as a Bayesian Approximation: Representing Model Uncertainty in
  Deep Learning",1506.02142,http://arxiv.org/abs/1506.02142v6,2015-06-06T12:30:43Z,897
Deep Learning Face Representation by Joint Identification-Verification,1406.4773,http://arxiv.org/abs/1406.4773v1,2014-06-18T15:42:16Z,870
DeepPose: Human Pose Estimation via Deep Neural Networks,1312.4659,http://arxiv.org/abs/1312.4659v3,2013-12-17T06:36:10Z,855
Semi-Supervised Learning with Deep Generative Models,1406.5298,http://arxiv.org/abs/1406.5298v2,2014-06-20T07:52:18Z,812
Learning Transferable Features with Deep Adaptation Networks,1502.02791,http://arxiv.org/abs/1502.02791v2,2015-02-10T06:01:30Z,735
Unsupervised Domain Adaptation by Backpropagation,1409.7495,http://arxiv.org/abs/1409.7495v2,2014-09-26T08:22:21Z,734
A Survey on Deep Learning in Medical Image Analysis,1702.05747,http://arxiv.org/abs/1702.05747v2,2017-02-19T13:02:28Z,733
Wasserstein GAN,1701.07875,http://arxiv.org/abs/1701.07875v3,2017-01-26T21:10:29Z,730
"Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image
  Denoising",1608.03981,http://arxiv.org/abs/1608.03981v1,2016-08-13T13:33:28Z,721
"Distillation as a Defense to Adversarial Perturbations against Deep
  Neural Networks",1511.04508,http://arxiv.org/abs/1511.04508v2,2015-11-14T04:51:04Z,702
Matching Networks for One Shot Learning,1606.04080,http://arxiv.org/abs/1606.04080v2,2016-06-13T19:34:22Z,675
The Limitations of Deep Learning in Adversarial Settings,1511.07528,http://arxiv.org/abs/1511.07528v1,2015-11-24T01:07:08Z,673
"Practical recommendations for gradient-based training of deep
  architectures",1206.5533,http://arxiv.org/abs/1206.5533v2,2012-06-24T19:17:35Z,641
Deep Learning with Limited Numerical Precision,1502.02551,http://arxiv.org/abs/1502.02551v1,2015-02-09T16:37:29Z,608
cuDNN: Efficient Primitives for Deep Learning,1410.0759,http://arxiv.org/abs/1410.0759v3,2014-10-03T06:16:43Z,584
"A Theoretically Grounded Application of Dropout in Recurrent Neural
  Networks",1512.05287,http://arxiv.org/abs/1512.05287v5,2015-12-16T19:18:43Z,577
Do Deep Nets Really Need to be Deep?,1312.6184,http://arxiv.org/abs/1312.6184v7,2013-12-21T00:47:43Z,569
Dueling Network Architectures for Deep Reinforcement Learning,1511.06581,http://arxiv.org/abs/1511.06581v3,2015-11-20T13:07:54Z,544
"PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric
  Space",1706.02413,http://arxiv.org/abs/1706.02413v1,2017-06-07T23:37:44Z,543
Action Recognition with Trajectory-Pooled Deep-Convolutional Descriptors,1505.04868,http://arxiv.org/abs/1505.04868v1,2015-05-19T04:36:42Z,534
"Exact solutions to the nonlinear dynamics of learning in deep linear
  neural networks",1312.6120,http://arxiv.org/abs/1312.6120v3,2013-12-20T20:24:00Z,513
Learning Fine-grained Image Similarity with Deep Ranking,1404.4661,http://arxiv.org/abs/1404.4661v1,2014-04-17T22:09:16Z,470
Collaborative Deep Learning for Recommender Systems,1409.2944,http://arxiv.org/abs/1409.2944v2,2014-09-10T03:05:22Z,464
Benchmarking Deep Reinforcement Learning for Continuous Control,1604.06778,http://arxiv.org/abs/1604.06778v3,2016-04-22T18:57:24Z,457
Building Machines That Learn and Think Like People,1604.00289,http://arxiv.org/abs/1604.00289v3,2016-04-01T15:37:57Z,446
Predicting Parameters in Deep Learning,1306.0543,http://arxiv.org/abs/1306.0543v2,2013-06-03T19:16:26Z,440
Deep Learning with Differential Privacy,1607.00133,http://arxiv.org/abs/1607.00133v2,2016-07-01T07:29:10Z,432
Geometric deep learning: going beyond Euclidean data,1611.08097,http://arxiv.org/abs/1611.08097v2,2016-11-24T08:45:01Z,417
